timestamp,dataset,data_source,architecture,n_trials,n_completed,n_pruned,selection_time_seconds,best_val_metric,best_params,final_best_val_metric,final_test_metric,final_train_time_seconds,inference_time_seconds,total_time_seconds,metric
2025-10-29 20:24:53,event-user-repeat,fit-best-table,FTTransformer,30,10,20,1529.02,0.718673,"{'num_layers': 3, 'channels': 128}",0.714827,0.725468,105.94,0.09,1635.08,roc_auc
2025-10-29 20:52:14,hm-item-sales,fit-best-table,FTTransformer,30,10,20,1370.42,0.060192,"{'num_layers': 3, 'channels': 128}",0.060743,0.050717,101.48,2.13,1474.08,mae
2025-10-29 21:16:53,hm-user-churn,fit-best-table,FTTransformer,30,8,22,932.04,0.655921,"{'num_layers': 6, 'channels': 32}",0.655707,0.656070,163.68,2.32,1098.08,roc_auc
2025-10-29 21:35:17,ratebeer-beer-positive,fit-best-table,FTTransformer,30,5,25,1039.41,0.211695,"{'num_layers': 6, 'channels': 128}",0.210848,0.177521,336.18,0.79,1376.42,mae
2025-10-29 21:58:19,ratebeer-user-active,fit-best-table,FTTransformer,30,7,23,922.34,0.906291,"{'num_layers': 6, 'channels': 64}",0.905321,0.904985,143.44,0.40,1066.21,roc_auc
2025-10-29 22:16:11,trial-site-success,fit-best-table,FTTransformer,30,7,23,299.13,0.415402,"{'num_layers': 8, 'channels': 32}",0.436577,0.430320,44.52,0.85,344.53,mae
2025-10-29 22:22:01,trial-study-outcome,fit-best-table,FTTransformer,30,8,22,285.00,0.667895,"{'num_layers': 5, 'channels': 64}",0.677576,0.710448,18.81,0.05,303.89,roc_auc
2025-10-29 22:27:11,avito-user-clicks,fit-medium-table,FTTransformer,30,8,22,205.40,0.628915,"{'num_layers': 2, 'channels': 128}",0.621610,0.639290,13.87,0.55,219.85,roc_auc
2025-10-29 22:30:56,event-user-attendance,fit-medium-table,FTTransformer,30,11,19,228.58,0.243486,"{'num_layers': 2, 'channels': 256}",0.244799,0.237866,17.08,0.04,245.74,mae
2025-10-29 22:35:07,event-user-repeat,fit-medium-table,FTTransformer,30,11,19,81.73,0.707358,"{'num_layers': 3, 'channels': 256}",0.699275,0.753810,6.43,0.01,88.21,roc_auc
2025-10-29 22:36:41,hm-item-sales,fit-medium-table,FTTransformer,30,8,22,1592.63,0.060431,"{'num_layers': 6, 'channels': 32}",0.085503,0.077447,294.58,3.55,1890.79,mae
2025-10-29 23:08:18,hm-user-churn,fit-medium-table,FTTransformer,30,9,21,477.66,0.632183,"{'num_layers': 2, 'channels': 64}",0.631329,0.628789,44.67,0.69,523.06,roc_auc
2025-10-29 23:17:06,ratebeer-beer-positive,fit-medium-table,FTTransformer,30,10,20,514.33,0.213089,"{'num_layers': 5, 'channels': 128}",0.212421,0.184128,66.69,0.18,581.23,mae
2025-10-29 23:26:53,ratebeer-user-active,fit-medium-table,FTTransformer,30,7,23,194.72,0.931625,"{'num_layers': 3, 'channels': 256}",0.931619,0.941252,14.78,0.07,209.61,roc_auc
2025-10-29 23:30:28,trial-site-success,fit-medium-table,FTTransformer,30,8,22,185.11,0.454177,"{'num_layers': 6, 'channels': 256}",0.462456,0.466975,19.77,0.66,205.58,mae
2025-10-29 23:33:59,trial-study-outcome,fit-medium-table,FTTransformer,30,8,22,188.69,0.669564,"{'num_layers': 5, 'channels': 128}",0.661053,0.702184,18.35,0.03,207.10,roc_auc
2025-10-29 23:37:32,avito-ad-ctr,flatten-table,FTTransformer,30,14,16,239.46,0.038963,"{'num_layers': 2, 'channels': 256}",0.038826,0.041806,18.90,0.04,258.44,mae
2025-10-29 23:41:56,avito-user-clicks,flatten-table,FTTransformer,30,11,19,137.11,0.545082,"{'num_layers': 2, 'channels': 256}",0.541959,0.537584,6.94,0.43,144.51,roc_auc
2025-10-29 23:44:26,event-user-attendance,flatten-table,FTTransformer,30,7,23,300.47,0.261949,"{'num_layers': 8, 'channels': 32}",0.262098,0.263839,100.80,0.07,401.38,mae
2025-10-29 23:51:13,event-user-repeat,flatten-table,FTTransformer,30,5,25,80.74,0.704682,"{'num_layers': 4, 'channels': 128}",0.702843,0.698262,10.82,0.01,91.61,roc_auc
2025-10-29 23:52:50,hm-item-sales,flatten-table,FTTransformer,30,9,21,1457.41,0.085639,"{'num_layers': 7, 'channels': 32}",0.085501,0.077445,341.30,3.23,1801.97,mae
2025-10-30 00:22:57,hm-user-churn,flatten-table,FTTransformer,30,10,20,428.45,0.560781,"{'num_layers': 4, 'channels': 256}",0.559517,0.555578,39.21,0.86,468.55,roc_auc
2025-10-30 00:30:51,ratebeer-beer-positive,flatten-table,FTTransformer,30,8,22,209.91,0.137133,"{'num_layers': 2, 'channels': 128}",0.144589,0.148259,6.43,0.10,216.47,mae
2025-10-30 00:34:33,ratebeer-user-active,flatten-table,FTTransformer,30,6,24,177.90,0.925036,"{'num_layers': 3, 'channels': 128}",0.923454,0.910566,26.34,0.05,204.32,roc_auc
2025-10-30 00:38:03,trial-site-success,flatten-table,FTTransformer,30,3,27,118.76,0.432150,"{'num_layers': 4, 'channels': 32}",0.437686,0.436204,18.14,0.39,137.33,mae
2025-10-30 00:40:26,trial-study-outcome,flatten-table,FTTransformer,30,8,22,118.63,0.669101,"{'num_layers': 3, 'channels': 64}",0.664062,0.709782,8.80,0.02,127.49,roc_auc
